term,frequency_doc1,frequency_doc2,sum_of_frequencies
us,52,44,96
shall,68,14,82
thou,77,4,81
upon,54,18,72
yet,54,9,63
good,46,13,59
would,43,16,59
make,35,20,55
thee,52,3,55
time,42,13,55
hath,50,4,54
come,43,10,53
thy,49,3,52
like,37,15,52
one,30,21,51
macbeth,50,0,50
also,1,47,48
say,37,9,46
well,33,11,44
great,29,15,44
must,36,8,44
enter,42,0,42
know,32,9,41
may,29,10,39
things,22,15,37
give,23,14,37
tis,36,0,36
lord,33,3,36
done,32,4,36
doe,36,0,36
let,32,2,34
man,27,7,34
ile,34,0,34
men,15,19,34
feare,33,0,33
see,24,8,32
king,27,5,32
day,19,11,30
selfe,29,0,29
night,27,1,28
speake,28,0,28
sir,27,0,27
thane,25,0,25
many,9,16,25
made,12,13,25
take,15,10,25
without,12,13,25
blood,21,2,23
hand,19,4,23
nature,17,6,23
said,4,19,23
love,19,4,23
cannot,20,2,22
looke,22,0,22
though,17,5,22
divers,0,21,21
mine,21,0,21
againe,21,0,21
much,12,9,21
sleepe,21,0,21
cawdor,20,0,20
death,19,1,20
land,3,17,20
nothing,15,5,20
heart,18,2,20
still,17,3,20
every,15,5,20
till,17,2,19
worthy,16,3,19
strangers,2,17,19
first,11,8,19
strange,16,3,19
call,8,11,19
thought,14,5,19
life,17,2,19
th,19,0,19
banquo,19,0,19
heere,19,0,19
new,12,6,18
came,5,13,18
light,9,9,18
put,13,5,18
two,8,10,18
three,8,10,18
ever,13,5,18
people,4,14,18
state,7,10,17
set,7,10,17
heaven,12,5,17
art,15,2,17
leave,12,5,17
god,11,6,17
place,10,7,17
dos,16,0,16
live,9,7,16
ere,15,1,16
could,12,4,16
whose,12,4,16
might,6,10,16
ye,3,13,16
poore,16,0,16
way,15,1,16
father,12,3,15
heare,15,0,15
little,4,11,15
noble,13,2,15
tell,10,5,15
shew,14,1,15
never,12,3,15
ayre,14,0,14
wife,13,1,14
bloody,14,0,14
ith,14,0,14
name,11,3,14
none,11,3,14
dare,13,0,13
several,0,13,13
dead,13,0,13
bring,9,4,13
deed,13,0,13
feast,5,8,13
therefore,3,10,13
theres,13,0,13
go,11,2,13
within,10,3,13
better,8,5,13
world,4,9,13
inventor,0,13,13
haile,13,0,13
hands,12,1,13
eyes,9,3,12
wood,11,1,12
goe,12,0,12
eye,11,1,12
stand,10,2,12
macduffe,12,0,12
grace,10,2,12
friends,10,2,12
pray,12,0,12
use,4,8,12
thus,9,3,12
thing,6,6,12
thinke,12,0,12
bed,12,0,12
scotland,12,0,12
given,7,5,12
sword,12,0,12
house,6,5,11
morrow,11,0,11
long,3,8,11
sight,9,2,11
desire,7,4,11
stay,4,7,11
former,5,6,11
marriage,0,11,11
hold,9,2,11
full,10,1,11
almost,8,3,11
likewise,0,11,11
thine,10,1,11
double,11,0,11
finde,11,0,11
since,6,5,11
peace,9,2,11
unto,3,8,11
forth,5,6,11
oth,11,0,11
honor,10,0,10
houre,10,0,10
rest,8,2,10
beare,10,0,10
else,10,0,10
hence,10,0,10
known,7,3,10
onely,10,0,10
away,9,1,10
words,9,1,10
welcome,10,0,10
enough,7,3,10
part,5,5,10
even,10,0,10
face,10,0,10
means,0,10,10
whats,10,0,10
less,7,3,10
trouble,7,3,10
beene,10,0,10
far,1,9,10
family,0,10,10
end,4,6,10
country,5,5,10
lives,10,0,10
woman,10,0,10
earth,6,4,10
flye,10,0,10
get,8,1,9
report,9,0,9
hope,9,0,9
greater,2,7,9
false,8,1,9
comes,9,0,9
fleans,9,0,9
lye,9,0,9
born,9,0,9
gold,0,9,9
places,1,8,9
hast,8,1,9
thats,9,0,9
years,0,9,9
tyrant,9,0,9
excellent,0,9,9
birds,3,6,9
sick,0,9,9
ships,0,9,9
last,8,1,9
keepe,9,0,9
fight,9,0,9
return,3,6,9
high,5,4,9
gone,8,0,8
parts,0,8,8
nights,8,0,8
brought,2,6,8
truth,8,0,8
meet,7,1,8
royall,8,0,8
whole,3,5,8
kingdom,0,8,8
motions,0,8,8
dayes,8,0,8
others,3,5,8
ist,8,0,8
sea,3,5,8
fortune,7,1,8
free,5,3,8
england,8,0,8
heard,8,0,8
small,0,8,8
sit,7,1,8
head,8,0,8
together,4,4,8
care,5,3,8
represent,0,8,8
dunsinane,8,0,8
trve,8,0,8
kings,8,0,8
times,4,4,8
went,4,4,8
children,6,2,8
tongve,8,0,8
power,7,1,8
hang,8,0,8
sorrow,8,0,8
strength,3,5,8
reason,5,3,8
round,5,3,8
hee,8,0,8
body,3,5,8
either,1,7,8
rather,7,1,8
order,2,5,7
colours,1,6,7
tirsan,0,7,7
fled,7,0,7
seeme,7,0,7
stood,4,3,7
instruments,3,4,7
knowledge,3,4,7
countries,3,4,7
indeed,4,3,7
least,3,4,7
sounds,0,7,7
fit,4,3,7
send,6,1,7
happy,3,4,7
weel,7,0,7
throw,7,0,7
silver,1,6,7
gracious,6,1,7
fall,6,1,7
lets,7,0,7
bid,7,0,7
drinke,7,0,7
feares,7,0,7
cry,7,0,7
answer,5,2,7
daggers,7,0,7
another,5,2,7
bodies,0,7,7
left,4,3,7
persons,0,7,7
neither,1,6,7
cometh,0,7,7
number,0,7,7
late,6,1,7
city,0,7,7
amongst,0,7,7
lady,7,0,7
unknown,2,5,7
knowes,7,0,7
right,3,4,7
thoughts,7,0,7
receive,5,2,7
fell,7,0,7
present,6,1,7
thousand,4,3,7
ten,5,2,7
macduff,7,0,7
blue,0,7,7
command,6,1,7
best,7,0,7
laws,0,7,7
comming,6,0,6
manner,1,5,6
business,5,1,6
chamber,5,1,6
lyes,6,0,6
chariot,0,6,6
gentle,6,0,6
neere,6,0,6
lost,5,1,6
strong,5,1,6
sound,5,1,6
makes,6,0,6
shalt,6,0,6
duncan,6,0,6
doctor,6,0,6
oh,6,0,6
purpose,4,2,6
seen,0,6,6
marry,2,4,6
found,3,3,6
foot,2,4,6
murther,6,0,6
natural,0,6,6
goes,6,0,6
withall,6,0,6
met,3,3,6
water,3,3,6
cause,5,1,6
lay,5,1,6
past,2,4,6
kind,1,5,6
servant,4,2,6
horses,5,1,6
wouldst,6,0,6
saw,5,1,6
breath,6,0,6
health,5,1,6
minde,6,0,6
young,3,3,6
faire,6,0,6
besides,3,3,6
powre,6,0,6
back,1,5,6
memory,2,4,6
drinks,0,6,6
please,6,0,6
abroad,2,4,6
messenger,4,2,6
speech,4,2,6
already,4,2,6
rise,5,1,6
drink,0,6,6
works,0,6,6
governor,0,6,6
helpe,6,0,6
whence,6,0,6
rosse,6,0,6
toth,6,0,6
sisters,6,0,6
tyrants,6,0,6
point,5,1,6
mother,5,1,6
nation,0,6,6
himselfe,6,0,6
wisedome,6,0,6
doth,5,1,6
ask,0,6,6
next,1,5,6
humanity,0,6,6
seene,6,0,6
took,0,5,5
harme,5,0,5
old,4,1,5
em,5,0,5
holy,3,2,5
grave,5,0,5
mans,3,2,5
black,4,1,5
bene,5,0,5
english,5,0,5
chance,5,0,5
offer,2,3,5
gods,2,3,5
imitate,0,5,5
remember,3,2,5
bless,3,2,5
bad,4,1,5
honest,5,0,5
mortall,5,0,5
divine,1,4,5
nations,0,5,5
fire,5,0,5
downe,5,0,5
strike,5,0,5
deepe,5,0,5
going,1,4,5
word,5,0,5
rare,0,5,5
hell,5,0,5
maiesty,5,0,5
highness,5,0,5
amen,5,0,5
certaine,5,0,5
hither,4,1,5
otherwise,0,5,5
seas,1,4,5
safe,5,0,5
single,3,2,5
faces,5,0,5
thankes,5,0,5
thither,5,0,5
whether,4,1,5
servants,3,2,5
hide,4,1,5
terrible,5,0,5
sonnes,5,0,5
backe,5,0,5
thanes,5,0,5
meanes,5,0,5
comfort,5,0,5
duties,5,0,5
estate,2,3,5
ship,0,5,5
malcolme,5,0,5
cold,4,1,5
thanks,3,2,5
home,5,0,5
blessing,3,2,5
service,3,2,5
seyward,5,0,5
takes,5,0,5
shake,5,0,5
find,0,5,5
fate,5,0,5
wine,3,2,5
move,4,1,5
sweet,4,1,5
heavens,4,1,5
velvet,0,5,5
experiments,0,5,5
law,0,5,5
thrice,5,0,5
selves,5,0,5
room,0,5,5
company,2,3,5
touch,3,2,5
worse,4,1,5
cut,3,2,5
taken,0,5,5
wrought,4,1,5
arts,0,5,5
towards,3,2,5
doubt,4,1,5
cauldron,5,0,5
thence,5,0,5
office,3,2,5
whereof,0,5,5
title,5,0,5
worst,5,0,5
labour,3,2,5
foule,5,0,5
hees,5,0,5
become,4,1,5
attend,4,1,5
large,2,3,5
crown,3,2,5
question,4,1,5
think,0,5,5
silk,0,5,5
violent,4,1,5
pleasure,4,1,5
eare,5,0,5
stands,5,0,5
natures,5,0,5
person,3,2,5
innocent,5,0,5
honors,4,0,4
crvell,4,0,4
byrnane,4,0,4
meat,0,4,4
liud,4,0,4
throne,4,0,4
gainst,4,0,4
alas,4,0,4
spirit,2,2,4
fine,0,4,4
delight,2,2,4
yong,4,0,4
sonne,4,0,4
dyde,4,0,4
calld,4,0,4
broke,4,0,4
dearest,4,0,4
toward,4,0,4
white,1,3,4
arme,4,0,4
bensalem,0,4,4
souldier,4,0,4
gate,4,0,4
bosome,4,0,4
turn,2,2,4
ivy,0,4,4
chair,0,4,4
shame,4,0,4
seemeth,1,3,4
colour,1,3,4
wherein,1,3,4
dost,3,1,4
anon,4,0,4
performe,4,0,4
burn,4,0,4
golden,4,0,4
hard,3,1,4
bubble,4,0,4
wast,4,0,4
prythee,4,0,4
charme,4,0,4
relation,1,3,4
borne,4,0,4
remedy,0,4,4
cast,3,1,4
hill,2,2,4
sorts,1,3,4
europe,0,4,4
spake,0,4,4
cedar,0,4,4
taking,1,3,4
age,1,3,4
castle,4,0,4
side,0,4,4
days,0,4,4
vantage,3,1,4
trust,4,0,4
breed,4,0,4
hostesse,4,0,4
play,4,0,4
spend,4,0,4
making,2,2,4
humbly,1,3,4
knocking,4,0,4
bleed,4,0,4
fair,0,4,4
used,0,4,4
meane,4,0,4
cure,3,1,4
course,2,2,4
sleep,3,1,4
need,4,0,4
prayers,3,1,4
cryd,4,0,4
laugh,4,0,4
approach,4,0,4
second,4,0,4
valiant,4,0,4
mixtures,0,4,4
respect,1,3,4
husband,4,0,4
dye,4,0,4
seemes,4,0,4
open,3,1,4
goodnight,4,0,4
owle,4,0,4
hearke,4,0,4
bold,4,0,4
artificial,0,4,4
ready,3,1,4
greatness,3,1,4
pronounce,4,0,4
farre,4,0,4
top,1,3,4
winde,4,0,4
sure,4,0,4
nay,2,2,4
fill,4,0,4
highnesse,4,0,4
heeres,4,0,4
touching,0,4,4
lust,2,2,4
blow,4,0,4
behold,4,0,4
fife,4,0,4
wee,4,0,4
sent,4,0,4
houses,1,3,4
voice,1,3,4
master,4,0,4
brethren,0,4,4
matter,0,4,4
didst,4,0,4
loose,3,1,4
warre,4,0,4
obedience,3,1,4
patterns,0,4,4
swift,4,0,4
killd,4,0,4
greatest,2,2,4
paines,4,0,4
gave,2,2,4
promisd,4,0,4
soule,4,0,4
curious,0,4,4
issve,4,0,4
work,0,4,4
ont,4,0,4
observations,0,4,4
note,4,0,4
women,4,0,4
glamis,4,0,4
start,4,0,4
villaine,4,0,4
rich,1,3,4
banquos,4,0,4
letters,0,4,4
twenty,3,1,4
cheere,4,0,4
often,4,0,4
court,4,0,4
flight,4,0,4
soules,4,0,4
keepes,4,0,4
traitor,4,0,4
nine,4,0,4
something,4,0,4
sundry,3,1,4
loves,4,0,4
owe,4,0,4
distance,2,2,4
perfect,4,0,4
alls,4,0,4
charge,3,1,4
seyton,4,0,4
hearts,3,1,4
gentlemen,4,0,4
books,0,4,4
execution,3,1,4
told,2,2,4
friend,4,0,4
alive,3,1,4
mens,2,2,4
horse,4,0,4
mercy,2,2,4
wise,2,2,4
true,0,4,4
darke,4,0,4
ill,3,1,4
yeeld,4,0,4
thanke,4,0,4
worke,4,0,4
suffer,3,1,4
trees,2,1,3
breake,3,0,3
placed,0,3,3
impostures,0,3,3
evils,2,1,3
boy,3,0,3
somewhat,0,3,3
trade,2,1,3
growes,3,0,3
linen,0,3,3
lies,2,1,3
sometime,3,0,3
pale,3,0,3
custom,0,3,3
danger,2,1,3
beard,2,1,3
middle,0,3,3
practise,1,2,3
halfpace,0,3,3
soone,3,0,3
affeard,3,0,3
tender,2,1,3
smile,2,1,3
jew,0,3,3
priest,0,3,3
promise,2,1,3
minute,2,1,3
lawgiver,0,3,3
snow,1,2,3
christians,0,3,3
boyle,3,0,3
drop,3,0,3
dont,3,0,3
sights,3,0,3
spoken,3,0,3
voyages,0,3,3
particulars,1,2,3
lookd,3,0,3
courage,3,0,3
vices,1,2,3
show,2,1,3
bare,1,2,3
faile,3,0,3
names,1,2,3
feet,2,1,3
shoes,0,3,3
sitteth,0,3,3
reward,0,3,3
moment,3,0,3
applaud,3,0,3
read,1,2,3
kill,3,0,3
begin,2,1,3
graces,3,0,3
host,3,0,3
jesus,0,3,3
certain,0,3,3
diverse,0,3,3
direction,2,1,3
altogether,1,2,3
fathers,3,0,3
coya,0,3,3
keep,0,3,3
mile,2,1,3
discern,1,2,3
broad,3,0,3
feele,3,0,3
declare,0,3,3
mayst,3,0,3
degrees,1,2,3
castles,3,0,3
america,0,3,3
shut,3,0,3
wall,0,3,3
temple,1,2,3
ones,2,1,3
businesse,3,0,3
griefe,3,0,3
bread,0,3,3
reverence,0,3,3
withal,0,3,3
space,1,2,3
secret,2,1,3
sides,3,0,3
naked,2,1,3
forty,0,3,3
meere,3,0,3
angels,2,1,3
taste,1,2,3
mountains,0,3,3
fast,2,1,3
bin,3,0,3
traitors,3,0,3
duncane,3,0,3
human,0,3,3
adorned,0,3,3
twelve,1,2,3
especially,1,2,3
enemy,3,0,3
tables,2,1,3
carry,2,1,3
pious,2,1,3
wash,3,0,3
seemed,0,3,3
avoid,1,2,3
slaine,3,0,3
highest,0,3,3
fellows,0,3,3
murtherd,3,0,3
scone,3,0,3
queene,3,0,3
carried,1,2,3
lifes,3,0,3
bones,3,0,3
bath,1,2,3
glory,1,2,3
wayes,3,0,3
throat,3,0,3
linage,0,3,3
seeing,0,3,3
son,1,2,3
wherefore,3,0,3
shadow,3,0,3
dainty,1,2,3
eate,3,0,3
beleeve,3,0,3
called,0,3,3
beside,2,1,3
island,0,3,3
vulgar,0,3,3
truly,2,1,3
chaste,0,3,3
pride,1,2,3
ground,2,1,3
answered,0,3,3
lacke,3,0,3
forget,1,2,3
remain,0,3,3
damnd,3,0,3
senses,1,2,3
draw,2,1,3
unnaturall,3,0,3
weare,3,0,3
duncans,3,0,3
hopes,3,0,3
murthers,3,0,3
ordain,0,3,3
ends,2,1,3
inventions,0,3,3
possible,0,3,3
flesh,1,2,3
babes,3,0,3
meeting,3,0,3
wish,3,0,3
f,0,3,3
hart,3,0,3
commend,2,1,3
pallace,3,0,3
conference,1,2,3
affraid,3,0,3
mallice,3,0,3
pass,0,3,3
speakst,3,0,3
warlike,3,0,3
groomes,3,0,3
patience,3,0,3
file,3,0,3
canst,3,0,3
according,2,1,3
particular,1,2,3
tree,2,1,3
offices,2,1,3
faith,2,1,3
gives,3,0,3
hear,0,3,3
divell,3,0,3
invention,1,2,3
donalbaine,3,0,3
causes,2,1,3
weyard,3,0,3
roote,3,0,3
disease,3,0,3
daughters,1,2,3
desired,0,3,3
dve,3,0,3
descended,1,2,3
speeches,3,0,3
remembrance,3,0,3
saying,1,2,3
noyse,3,0,3
conditions,0,3,3
paid,2,1,3
ride,3,0,3
advice,2,1,3
horror,3,0,3
fury,3,0,3
hoa,3,0,3
morning,2,1,3
points,1,2,3
worth,3,0,3
led,2,1,3
foole,3,0,3
front,3,0,3
spoke,3,0,3
kernes,3,0,3
horrible,3,0,3
owne,3,0,3
breads,0,3,3
spirits,3,0,3
knowne,3,0,3
meats,0,3,3
lips,3,0,3
plant,2,1,3
justice,3,0,3
gashes,3,0,3
filthy,3,0,3
absolute,3,0,3
grains,0,3,3
gentleman,3,0,3
afar,0,3,3
gvest,3,0,3
save,1,2,3
roots,0,3,3
meteors,0,3,3
mindes,3,0,3
mouncht,3,0,3
ore,3,0,3
damned,3,0,3
wonder,2,1,3
norweyan,3,0,3
success,3,0,3
seemd,3,0,3
act,3,0,3
shine,3,0,3
air,0,3,3
mad,3,0,3
calls,3,0,3
hearing,2,1,3
marke,3,0,3
understand,1,2,3
variety,0,3,3
began,3,0,3
horrid,3,0,3
contend,3,0,3
beasts,0,3,3
wounds,3,0,3
finger,2,1,3
slave,3,0,3
seeke,3,0,3
angus,3,0,3
wilde,3,0,3
whiles,3,0,3
newes,3,0,3
dismall,3,0,3
glamys,3,0,3
braine,3,0,3
liege,3,0,3
proud,2,1,3
ambition,3,0,3
pay,3,0,3
generall,3,0,3
thunder,3,0,3
lesser,2,1,3
easily,0,3,3
charmes,3,0,3
catch,3,0,3
devill,3,0,3
yea,0,3,3
newest,3,0,3
bird,3,0,3
valour,3,0,3
hereafter,2,1,3
pardon,2,1,3
hayle,3,0,3
kinde,3,0,3
hate,2,1,3
leysure,3,0,3
cleave,2,1,3
heavy,3,0,3
weyward,3,0,3
sciences,0,2,2
corn,1,1,2
borders,0,2,2
treasons,2,0,2
swelling,1,1,2
upont,2,0,2
speak,1,1,2
accounted,1,1,2
manly,2,0,2
imperiall,2,0,2
lighted,2,0,2
wracke,2,0,2
armes,2,0,2
ireland,2,0,2
syllable,2,0,2
grown,1,1,2
venom,2,0,2
music,0,2,2
consequence,2,0,2
mechanical,0,2,2
principals,0,2,2
hoped,0,2,2
smiles,2,0,2
safer,2,0,2
perchance,2,0,2
easy,2,0,2
living,1,1,2
heat,0,2,2
tippet,0,2,2
troubled,2,0,2
desolate,1,1,2
discovered,0,2,2
kisse,2,0,2
heeles,2,0,2
sun,1,1,2
sicken,2,0,2
marble,1,1,2
prepared,0,2,2
winn,2,0,2
demand,1,1,2
trusted,2,0,2
quarry,2,0,2
wanted,0,2,2
sickness,0,2,2
treasure,1,1,2
hes,2,0,2
flying,1,1,2
silks,0,2,2
dreadfull,2,0,2
beaten,1,1,2
houres,2,0,2
spices,0,2,2
darkness,2,0,2
sawcy,2,0,2
truths,2,0,2
doubts,2,0,2
confessd,2,0,2
convenient,0,2,2
leavetaking,2,0,2
heads,2,0,2
stage,2,0,2
childe,2,0,2
sawce,2,0,2
blacke,2,0,2
woe,2,0,2
dull,1,1,2
deare,2,0,2
upper,0,2,2
lenox,2,0,2
regard,1,1,2
aid,1,1,2
feed,2,0,2
pure,1,1,2
passion,2,0,2
forgotten,2,0,2
axioms,0,2,2
vice,1,1,2
garments,1,1,2
rebell,2,0,2
named,0,2,2
instituted,0,2,2
orders,0,2,2
stirre,2,0,2
stopt,2,0,2
womans,2,0,2
articulate,0,2,2
rapt,2,0,2
weighd,2,0,2
offered,0,2,2
substance,0,2,2
cling,2,0,2
among,1,1,2
fellow,2,0,2
learn,1,1,2
knew,0,2,2
adde,2,0,2
gladly,1,1,2
tigers,1,1,2
stuffe,2,0,2
yes,2,0,2
green,0,2,2
shining,0,2,2
coole,2,0,2
leaf,0,2,2
destroy,2,0,2
reade,2,0,2
awake,2,0,2
leafe,2,0,2
neyther,2,0,2
goodly,1,1,2
lambe,2,0,2
seize,2,0,2
mediterrane,0,2,2
tongves,2,0,2
precious,2,0,2
fiend,2,0,2
beares,2,0,2
hid,2,0,2
fifty,0,2,2
confound,2,0,2
wear,2,0,2
macbeths,2,0,2
atlantic,0,2,2
bosom,0,2,2
crave,1,1,2
kinds,0,2,2
recoyle,2,0,2
ghost,2,0,2
pine,2,0,2
scruples,2,0,2
navigation,1,1,2
meate,2,0,2
compounded,0,2,2
seventeen,0,2,2
lockes,2,0,2
east,1,1,2
walls,1,1,2
ring,2,0,2
pillowes,2,0,2
courses,0,2,2
famine,2,0,2
insomuch,0,2,2
cells,0,2,2
amazd,2,0,2
window,0,2,2
loyall,2,0,2
unfixe,2,0,2
forbid,2,0,2
blame,2,0,2
goodness,1,1,2
weary,2,0,2
celebrated,0,2,2
choose,0,2,2
gallery,0,2,2
entrance,1,1,2
murtherers,2,0,2
table,1,1,2
midst,1,1,2
judgement,2,0,2
farwell,2,0,2
pittifull,2,0,2
miles,0,2,2
spight,2,0,2
sunn,2,0,2
firstlings,2,0,2
maintain,0,2,2
frets,2,0,2
producing,1,1,2
beleefe,2,0,2
prosperous,2,0,2
merits,0,2,2
objects,0,2,2
esteem,0,2,2
hums,2,0,2
mortal,0,2,2
infected,2,0,2
accursed,2,0,2
thin,0,2,2
advise,2,0,2
hundred,0,2,2
stop,1,1,2
edge,2,0,2
near,0,2,2
fly,2,0,2
needes,2,0,2
enemies,0,2,2
eares,2,0,2
scorne,2,0,2
titles,1,1,2
wing,2,0,2
whereby,1,1,2
corporall,2,0,2
port,0,2,2
station,2,0,2
saviour,0,2,2
vanishd,2,0,2
manhood,2,0,2
whither,2,0,2
bosomes,2,0,2
deceits,0,2,2
bond,2,0,2
arid,0,2,2
sickly,2,0,2
teare,2,0,2
impress,2,0,2
statue,0,2,2
licence,0,2,2
